날짜,역명,Passengers,Weekend,Post,Year,Date
2022-03-10,녹사평(용산구청),1192,0,0,2022,1990-03-10
2022-03-10,삼각지,2860,0,0,2022,1990-03-10
2022-03-10,신용산,6501,0,0,2022,1990-03-10
2022-03-11,녹사평(용산구청),1219,0,0,2022,1990-03-11
2022-03-11,삼각지,2713,0,0,2022,1990-03-11
2022-03-11,신용산,5974,0,0,2022,1990-03-11
2022-03-14,녹사평(용산구청),1202,0,0,2022,1990-03-14
2022-03-14,삼각지,2640,0,0,2022,1990-03-14
2022-03-14,신용산,6482,0,0,2022,1990-03-14
2022-03-15,녹사평(용산구청),1197,0,0,2022,1990-03-15
2022-03-15,삼각지,2801,0,0,2022,1990-03-15
2022-03-15,신용산,6415,0,0,2022,1990-03-15
2022-03-16,녹사평(용산구청),1194,0,0,2022,1990-03-16
2022-03-16,삼각지,2787,0,0,2022,1990-03-16
2022-03-16,신용산,6432,0,0,2022,1990-03-16
2022-03-17,녹사평(용산구청),1183,0,0,2022,1990-03-17
2022-03-17,삼각지,2706,0,0,2022,1990-03-17
2022-03-17,신용산,6206,0,0,2022,1990-03-17
2022-03-18,녹사평(용산구청),1147,0,0,2022,1990-03-18
2022-03-18,삼각지,2630,0,0,2022,1990-03-18
2022-03-18,신용산,5788,0,0,2022,1990-03-18
2022-03-21,녹사평(용산구청),1180,0,0,2022,1990-03-21
2022-03-21,삼각지,2648,0,0,2022,1990-03-21
2022-03-21,신용산,6545,0,0,2022,1990-03-21
2022-03-22,녹사평(용산구청),1208,0,0,2022,1990-03-22
2022-03-22,삼각지,2817,0,0,2022,1990-03-22
2022-03-22,신용산,6576,0,0,2022,1990-03-22
2022-03-23,녹사평(용산구청),1206,0,0,2022,1990-03-23
2022-03-23,삼각지,2725,0,0,2022,1990-03-23
2022-03-23,신용산,6519,0,0,2022,1990-03-23
2022-03-24,녹사평(용산구청),1190,0,0,2022,1990-03-24
2022-03-24,삼각지,2805,0,0,2022,1990-03-24
2022-03-24,신용산,6300,0,0,2022,1990-03-24
2022-03-25,녹사평(용산구청),1240,0,0,2022,1990-03-25
2022-03-25,삼각지,3189,0,0,2022,1990-03-25
2022-03-25,신용산,5630,0,0,2022,1990-03-25
2022-03-28,녹사평(용산구청),1180,0,0,2022,1990-03-28
2022-03-28,삼각지,2822,0,0,2022,1990-03-28
2022-03-28,신용산,6570,0,0,2022,1990-03-28
2022-03-29,녹사평(용산구청),1234,0,0,2022,1990-03-29
2022-03-29,삼각지,2933,0,0,2022,1990-03-29
2022-03-29,신용산,6600,0,0,2022,1990-03-29
2022-03-30,녹사평(용산구청),1225,0,0,2022,1990-03-30
2022-03-30,삼각지,2920,0,0,2022,1990-03-30
2022-03-30,신용산,6628,0,0,2022,1990-03-30
2022-03-31,녹사평(용산구청),1276,0,0,2022,1990-03-31
2022-03-31,삼각지,2953,0,0,2022,1990-03-31
2022-03-31,신용산,6746,0,0,2022,1990-03-31
2022-04-01,녹사평(용산구청),1201,0,0,2022,1990-04-01
2022-04-01,삼각지,2879,0,0,2022,1990-04-01
2022-04-01,신용산,6270,0,0,2022,1990-04-01
2022-04-04,녹사평(용산구청),1242,0,0,2022,1990-04-04
2022-04-04,삼각지,2854,0,0,2022,1990-04-04
2022-04-04,신용산,6736,0,0,2022,1990-04-04
2022-04-05,녹사평(용산구청),1212,0,0,2022,1990-04-05
2022-04-05,삼각지,3100,0,0,2022,1990-04-05
2022-04-05,신용산,6810,0,0,2022,1990-04-05
2022-04-06,녹사평(용산구청),1337,0,0,2022,1990-04-06
2022-04-06,삼각지,2985,0,0,2022,1990-04-06
2022-04-06,신용산,6761,0,0,2022,1990-04-06
2022-04-07,녹사평(용산구청),1328,0,0,2022,1990-04-07
2022-04-07,삼각지,3046,0,0,2022,1990-04-07
2022-04-07,신용산,6807,0,0,2022,1990-04-07
2022-04-08,녹사평(용산구청),1374,0,0,2022,1990-04-08
2022-04-08,삼각지,2853,0,0,2022,1990-04-08
2022-04-08,신용산,6105,0,0,2022,1990-04-08
2022-04-11,녹사평(용산구청),1284,0,0,2022,1990-04-11
2022-04-11,삼각지,3016,0,0,2022,1990-04-11
2022-04-11,신용산,7204,0,0,2022,1990-04-11
2022-04-12,녹사평(용산구청),1284,0,0,2022,1990-04-12
2022-04-12,삼각지,3179,0,0,2022,1990-04-12
2022-04-12,신용산,7168,0,0,2022,1990-04-12
2022-04-13,녹사평(용산구청),1332,0,0,2022,1990-04-13
2022-04-13,삼각지,3231,0,0,2022,1990-04-13
2022-04-13,신용산,7167,0,0,2022,1990-04-13
2022-04-14,녹사평(용산구청),1300,0,0,2022,1990-04-14
2022-04-14,삼각지,3176,0,0,2022,1990-04-14
2022-04-14,신용산,7174,0,0,2022,1990-04-14
2022-04-15,녹사평(용산구청),1264,0,0,2022,1990-04-15
2022-04-15,삼각지,3135,0,0,2022,1990-04-15
2022-04-15,신용산,6611,0,0,2022,1990-04-15
2022-04-18,녹사평(용산구청),1279,0,0,2022,1990-04-18
2022-04-18,삼각지,3089,0,0,2022,1990-04-18
2022-04-18,신용산,7602,0,0,2022,1990-04-18
2022-04-19,녹사평(용산구청),1319,0,0,2022,1990-04-19
2022-04-19,삼각지,3270,0,0,2022,1990-04-19
2022-04-19,신용산,7622,0,0,2022,1990-04-19
2022-04-20,녹사평(용산구청),1314,0,0,2022,1990-04-20
2022-04-20,삼각지,3250,0,0,2022,1990-04-20
2022-04-20,신용산,7511,0,0,2022,1990-04-20
2022-04-21,녹사평(용산구청),1481,0,0,2022,1990-04-21
2022-04-21,삼각지,3628,0,0,2022,1990-04-21
2022-04-21,신용산,6095,0,0,2022,1990-04-21
2022-04-22,녹사평(용산구청),1430,0,0,2022,1990-04-22
2022-04-22,삼각지,3175,0,0,2022,1990-04-22
2022-04-22,신용산,6730,0,0,2022,1990-04-22
